amfi_code,cagr_1yr,cagr_3yr,cagr_5yr,sharpe_ratio,sharpe_rank,alpha,beta,max_drawdown,drawdown_date,expense_ratio_pct,return_score,sharpe_score,alpha_score,expense_score,drawdown_score,fund_score,overall_rank
148567,0.2037595706234765,0.33991970400445304,0.3097410750185903,1.4482911703262602,1.0,0.2698375144191807,0.023683558075848606,-0.11265729075028275,2023-10-20,1.46,97.5,100.0,85.0,45.0,82.5,86.25,1
120505,0.29627681171526876,0.3176924285223732,0.3282740607461121,1.1801011976606492,5.0,0.2926358334175106,0.0005490042506317283,-0.18188513572116294,2025-01-23,1.36,90.0,90.0,95.0,65.0,40.0,82.25,2
120843,0.2667758391882715,0.2957511058901836,0.3090745475400549,1.3067439695428407,2.0,0.27330465038306057,-0.022829569792426545,-0.1297396816518679,2022-04-13,1.45,85.0,97.5,90.0,47.5,70.0,82.0,3
100033,0.5327719549540499,0.3243397122906222,0.3012315310072722,1.0936987435346308,7.0,0.2719535450128533,0.0051035258305283,-0.16217208574644848,2022-05-12,1.38,92.5,85.0,87.5,60.0,52.5,80.75,4
120504,0.13073788394478303,0.32478927222623,0.2329511862010305,1.0265242847993004,10.0,0.2119482701352573,0.01623216976141703,-0.12588275606922517,2023-05-30,0.8,95.0,77.5,70.0,72.5,72.5,80.0,5
119094,0.22277897154308546,0.35102527889035406,0.2821441719365203,0.9982309868636414,11.0,0.2607666908004223,-0.06626542862803757,-0.20960883862039192,2022-08-11,1.38,100.0,75.0,80.0,60.0,32.5,77.0,6
119551,0.6048929711840034,0.3044861306002782,0.25804686425584,1.208266567372718,4.0,0.23201007160635082,-0.03175144113890974,-0.1501238549864533,2024-02-05,1.54,87.5,92.5,77.5,26.25,60.0,74.8125,7
148569,0.3978380253854239,0.2917135767741186,0.3194952310833252,1.2349300257743299,3.0,0.2827036785246582,0.01813388408385924,-0.1639674294693263,2023-10-20,1.6,82.5,95.0,92.5,11.25,50.0,73.6875,8
101206,0.4796379447633372,0.28960211096593724,0.2353836133468803,1.0272133278753697,9.0,0.21399784776051212,0.02108631625012805,-0.11291596329323073,2023-07-05,1.6,80.0,80.0,72.5,11.25,80.0,68.1875,9
119598,0.8285157468100046,0.2666309129954312,0.32423536152454613,0.9453082575156094,14.0,0.3033696538698332,-0.023196062044059707,-0.2870600572176455,2025-05-14,1.43,72.5,67.5,100.0,50.0,12.5,67.375,10
149323,0.21497414349538224,0.26863103668817145,0.29581086910433996,1.1321218524747247,6.0,0.26598577542043045,-0.0025230046646992346,-0.17248105753451382,2022-10-24,1.61,75.0,87.5,82.5,7.5,47.5,66.75,11
